Name,Year,Description,Image,Quantity,Price
Uncharted 2: Among Thieves,2009,"After being tracked down by Harry Flynn, Nathan Drake goes on a quest for Marco Polo's lost fleet. However when things take an unexpected turn for the worst, Drake must rely on those closest to him in order to find the Cintomani Stone.",https://m.media-amazon.com/images/M/MV5BZDk4ZGQ1NTUtZTYwYS00YTMwLWI1OTYtNTNkZWRmNzljMjU3XkEyXkFqcGdeQXVyMjM5NzU3OTM@._V1_.jpg,0,0
Kingdom Hearts II: Final Mix+,2007,Sora and friends must set out on another adventure to find his long lost friends and stop Organization XIII.,https://m.media-amazon.com/images/M/MV5BMTkzMTQwMTM2N15BMl5BanBnXkFtZTgwNzk3NzAwMTE@._V1_.jpg,0,0
Metal Gear Solid 4: Guns of the Patriots,2008,"When the nations of the world rely upon private military companies to fight their battles for them, renegade Liquid Ocelot emerges as the head of a potent coalition of mercenary powers. Solid Snake returns to save the world once again.",https://m.media-amazon.com/images/M/MV5BMTU2MzM0MzA4M15BMl5BanBnXkFtZTgwMzA1MTU3MDE@._V1_.jpg,0,0
Grand Theft Auto: San Andreas,2004,"A family tragedy prompts gangster Carl ""CJ"" Johnson to return home, only to find it overrun by crime and corruption, which he must regain control of the streets before it gets even worse.",https://m.media-amazon.com/images/M/MV5BMTdkZDFkMjMtYmM2My00MDljLWI1M2UtZjMwM2RjYWFhYmQyXkEyXkFqcGdeQXVyNjgzMTIxNzE@._V1_.jpg,0,0
Half-Life 2,2004,"Dr. Freeman is taken out of stasis by his ""employer"" to help rid the planet of invading aliens forces known as the Combine that entered through the portals he helped create.",https://m.media-amazon.com/images/M/MV5BNzEwNDk5NzIxM15BMl5BanBnXkFtZTgwNDA3NzE2MDE@._V1_.jpg,0,0
Silent Hill 2,2001,"After receiving a letter from his late wife, from Silent Hill, James Sunderland makes his way to the town in an attempt to find her.",https://m.media-amazon.com/images/M/MV5BZjU4OWRjMmEtMWU5ZC00MGM5LTk5N2YtODNmNzhjZjFiZDUyXkEyXkFqcGdeQXVyOTQxNzM2MjY@._V1_.jpg,0,0
Forgotten Realms: Baldur's Gate II - Shadows of Amn,2000,"Jon Irenicus, a sadistic secretive powerful mage bent on revenge, captures Gorion's ward and his/her party for a diabolical experiment.",https://m.media-amazon.com/images/M/MV5BMDY5NTQ2MGMtZmEwNC00NTk0LTgxNjQtYzE1ZjljMDdjMjQxXkEyXkFqcGdeQXVyMjcyNzc1NTg@._V1_.jpg,0,0
Planescape: Torment,1999,"In the city of Sigil, the only place from which all realities of the Planescape universe can be reached, an immortal amnesiac, the Nameless One, must uncover his past, the mystery of his immortality as well as who's trying to kill him.",https://m.media-amazon.com/images/M/MV5BYzBhOWE5NTEtMjJjMC00NmU1LWJiMDEtMTljZTU5ZmJkMTVkXkEyXkFqcGdeQXVyNzg3NjQyOQ@@._V1_.jpg,0,0
Fallout 2: A Post-Nuclear Role-Playing Game,1998,"In a post-nuclear future, the descendant of an ancient exiled hero must leave his tribe in search of the Garden of Eden Creation Kit, the last chance of survival for his people.",https://m.media-amazon.com/images/M/MV5BYzczZWJiOTAtMDZjYS00ZmZhLWE4YmUtOTgxYmZiZDk1YzRiXkEyXkFqcGdeQXVyNzg3NjQyOQ@@._V1_.jpg,0,0
Ghost of Tsushima,2020,"Set in 1274 on the Tsushima Island, the last samurai, Jin Sakai, must master a new fighting style, the way of the Ghost, to defeat the Mongol forces and fight for the freedom and independence of Japan.",https://m.media-amazon.com/images/M/MV5BMjEwYjRjZjctNWRmNy00NDA1LWE1MjYtYTlhMWIzZGNhMWYxXkEyXkFqcGdeQXVyMzY0MTE3NzU@._V1_.jpg,0,0
Kingdom Hearts HD 1.5 + 2.5 Remix,2017,A re-release of Kingdom Hearts HD 1.5 Remix and Kingdom Hearts HD 2.5 Remix on the Playstation 4.,https://m.media-amazon.com/images/M/MV5BOTI4Y2M2YWUtNzc0Ni00NjlmLWJjNjItMzhkZTQ3MmFlMDU0XkEyXkFqcGdeQXVyMDQ5NjU3Nw@@._V1_.jpg,0,0
Persona 5,2016,A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,https://m.media-amazon.com/images/M/MV5BMWFlOWE4OWUtMjRjZS00MTg4LThmMjMtOTE0NTViZDZlNjU0XkEyXkFqcGdeQXVyNTk1ODMyNjA@._V1_.jpg,0,0
Kingdom Hearts HD 2.5 Remix,2014,After the events of,https://m.media-amazon.com/images/M/MV5BMzVlYmYzNjEtNDE5YS00N2FkLTg2YTAtMzZlNGNlZDQ2YzdhXkEyXkFqcGdeQXVyNDY2Mzc1MzY@._V1_.jpg,0,0
The Orange Box,2007,"The Orange Box is a collection of five games. Half life 2, Half life 2: Episode 1, Half life 2: Episode 2, Team Fortress 2 and Portal.",https://m.media-amazon.com/images/M/MV5BMGU2OWVkYjYtZDg4Yy00ZjIzLWE1NjctZDhkZjg1Y2Y1MDNjXkEyXkFqcGdeQXVyMjcyNzc1NTg@._V1_.jpg,0,0
Super Mario All-Stars + Super Mario World,1994,A compilation game that includes both Super Mario All-Stars and Super Mario World on one game.,https://m.media-amazon.com/images/M/MV5BNjY2NDFmMTctMzAyOC00ZTAwLWE2OGItMTU3NDJiM2MyNzAwXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_.jpg,0,0
P.T.,2014,"The player must navigate a series of continuously looping hallways, solving cryptic puzzles, all while being hunted by a hostile apparition named Lisa.",https://m.media-amazon.com/images/M/MV5BOWMxYTgzYjctYTlhYy00YjIxLTlhMTItMTk3MTQ4YTAwN2FjXkEyXkFqcGdeQXVyNTMxMjgxMzA@._V1_.jpg,0,0
Persona 4 Golden,2012,"A high-school student who moved into the countryside from the city for a year, becomes involved in investigating mysterious murders while harnessing the power of summoning Persona.",https://m.media-amazon.com/images/M/MV5BZmVhMzliNzAtNWIzNi00YzIwLWEzMmUtMWQ3YzY2ZGJlZTRkXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_.jpg,0,0
Persona 4,2008,"A high school student forms a group that explores a hidden world accessible through TV sets to find a connection between the ""realm of shadows"" and the mysterious murders in their town.",https://m.media-amazon.com/images/M/MV5BYmFjMzc5YTgtZDE0My00NjVjLWJiZWQtNjA0ZGExMDZmMDAxXkEyXkFqcGdeQXVyMTA3NjAwMDc4._V1_.jpg,0,0
Wanda to kyozô,2005,A young man brings a deceased woman to a forbidden land inhabited by colossal beings said to house the power to revive the dead.,https://m.media-amazon.com/images/M/MV5BNjU2NWMxM2UtN2JlMC00MGI1LWE4MDctNzE0NTE3YTRlMzZjXkEyXkFqcGdeQXVyMTA3NjAwMDc4._V1_.jpg,0,0
Kingdom Hearts II,2005,"Sora and friends face mysterious new enemies as they continue their journey to save all worlds, and find Riku and King Mickey.",https://m.media-amazon.com/images/M/MV5BN2Y2NGFjZmEtMzc4Mi00MTJhLTk3NjctZGUyMzhiZmE1ODYzXkEyXkFqcGdeQXVyNzU3Nzk4MDQ@._V1_.jpg,0,0
Gensô suikoden II,1998,"Three years after the Gate Rune War, the 108 Stars of Destiny once again gather to protect the City-State of Jowston from the invading Kingdom of Highland, led by the demonic Luca Blight.",https://m.media-amazon.com/images/M/MV5BMTczNTIyNTUwMl5BMl5BanBnXkFtZTcwNDE1MDE2MQ@@._V1_.jpg,0,0
Zeruda no densetsu: Kamigami no toraifôsu,1991,"The wizard Agahnim has abducted seven maidens, intent on using their power to open a portal to the Dark World. Armed with a trusty sword and shield, Link begins a great and treacherous journey.",https://m.media-amazon.com/images/M/MV5BMDNlYWY4NmEtNWUwOC00YWE1LWJhNzgtMzVhNDdkYTZhZGZhXkEyXkFqcGdeQXVyMTA3NjAwMDc4._V1_.jpg,0,0
The Secret of Monkey Island,1990,"Young pirate wanna-be Guybrush Threepwood sets out to pass the Three Trials, woo the governess Elaine Marley, reach the fabled Monkey Island and vanquish the nefarious ghost pirate LeChuck.",https://m.media-amazon.com/images/M/MV5BYzY2NWFhNDktMzc5MS00N2FiLWJkNjktYjg0MGQ4ZDQ4YjAyXkEyXkFqcGdeQXVyMTk5NDI0MA@@._V1_.jpg,0,0
Monkey Island 2: LeChuck's Revenge,1991,"Having vanquished the ghost pirate LeChuck with a soft drink, Guybrush Threepwood now seeks the treasure of Big Whoop. During his quest he discovers LeChuck is back from the dead. Once again.",https://m.media-amazon.com/images/M/MV5BMDg4NjNlMjQtZjgxNC00ZGRhLTg5OGMtYTdlZTc3NWQyNTc3XkEyXkFqcGdeQXVyMTgyMzEyNDY@._V1_.jpg,0,0
